Mass Range,Relative Error Chirp Mass (%),Relative Error Mass Ratio (%)
CNN_low_mass,-21.364316433572835,-8.769023418426512
CNN_low_mass,82.45716138227377,-16.321341016075827
CNN_low_mass,-11.26652228893663,-16.908957560857154
CNN_low_mass,30.745894325950534,-24.022014439106
CNN_low_mass,0.729681649500953,-21.42934451500576
CNN_low_mass,-7.808614376399962,-17.124168574810042
CNN_low_mass,-4.473544939450267,-17.754117151101447
CNN_low_mass,-12.759970772460147,-18.21076820294064
CNN_low_mass,24.00569988781223,-18.52992027997972
CNN_low_mass,-6.1157101748573774,-35.83318541447323
CNN_low_mass,-2.738726702604208,-22.252879043420172
CNN_low_mass,2.3789875347065204,-25.845260918140422
CNN_low_mass,-8.594077081933204,-26.7188126842181
CNN_low_mass,-2.4837862057457767,-21.56676600376766
CNN_low_mass,-5.602364123805883,-19.738915562629714
CNN_low_mass,33.90500025638026,-28.980061908562995
CNN_low_mass,-3.7325840968501627,-23.65118563175203
CNN_low_mass,1.4555716857696699,-23.622819284598044
CNN_low_mass,15.34091259638177,-28.355205517548782
CNN_low_mass,-13.590298259388762,-20.143237480750454
CNN_low_mass,-0.3265654637002929,-26.031147058193504
CNN_low_mass,-6.391652163561091,-15.49984537638151
CNN_low_mass,-6.841380641702301,-24.661164100353535
CNN_low_mass,-6.097042256984414,-20.791114752109237
CNN_low_mass,-11.47740326003061,-31.391142881833595
CNN_low_mass,-9.766538739552539,-18.436878002606907
CNN_low_mass,-5.545803457229877,-12.855421121303856
CNN_low_mass,-6.554525486363078,-21.172744952715362
CNN_low_mass,-18.614184022605656,-23.38862098180331
CNN_low_mass,-7.6817743357763995,-21.548474293488727
CNN_low_mass,-11.177393283766316,-27.62023898271414
CNN_low_mass,-11.369331225831749,-18.963890809279224
CNN_low_mass,4.704290156904108,-36.838516822228065
CNN_low_mass,2.6892007801875417,-22.158436133311348
CNN_low_mass,7.7400819646873416,-22.66487387510446
CNN_low_mass,-15.992468833044846,-15.18092017907362
CNN_low_mass,-8.768999906683774,-10.950971566713767
CNN_low_mass,12.125037384505722,-22.333243260016804
CNN_low_mass,-11.767915024311261,-11.008954506654
CNN_low_mass,-13.578102719951943,-9.733968973159785
CNN_low_mass,-0.8047439558599779,-19.714353634760926
CNN_low_mass,18.236628151186355,-11.553186636704659
CNN_low_mass,-11.598662090891658,-14.894746817075283
CNN_low_mass,3.381326163689833,-16.527661451926594
CNN_low_mass,-5.803718337477785,-19.498759049635662
CNN_low_mass,-9.2771352018876,-17.268921778752247
CNN_low_mass,-3.6911313784503905,-23.858306041130646
CNN_low_mass,-5.415611107196075,-11.146970895620486
CNN_low_mass,-8.458428488314048,-11.402301604931166
CNN_low_mass,-9.589020661437969,-18.937082932545582
CNN_low_mass,-5.729491878516286,3.6712793203500675
CNN_low_mass,-3.822650168849266,0.3692076756404065
CNN_low_mass,-5.497541816631511,-6.5493620358980555
CNN_low_mass,-2.143345491958162,5.343624261709367
CNN_low_mass,-7.13311681784249,-6.616012866680432
CNN_low_mass,-4.469838101606755,-3.8385317875788694
CNN_low_mass,-7.159588732879886,3.8212959582989106
CNN_low_mass,-9.976766362123287,-1.4236523554875233
CNN_low_mass,-4.204167489637692,10.436531213613664
CNN_low_mass,-6.996732309723599,-5.260867338914131
CNN_low_mass,-5.610646813749201,-3.6501334263728147
CNN_low_mass,-7.822538378114123,-4.977461007925174
CNN_low_mass,-7.99982947520662,-7.960060926584091
CNN_low_mass,-3.326005995053559,0.5934568551870562
CNN_low_mass,5.2198467829068385,12.840164624727695
CNN_low_mass,-6.917466795389586,-6.146441973172695
CNN_low_mass,-0.3248517243517239,10.96938298298762
CNN_low_mass,-3.9323106423500223,9.63844565244821
CNN_low_mass,-3.83580756229054,6.523289130284232
CNN_low_mass,15.967201703556086,29.80443926957937
CNN_low_mass,-4.018411163222693,2.219295043211713
CNN_low_mass,-3.3782239154160676,11.132298524563126
CNN_low_mass,-1.2489723423594488,11.123598538912256
CNN_low_mass,-4.880153271065338,15.854625518505387
CNN_low_mass,-5.943725905940437,2.4707578695737364
CNN_low_mass,-0.24169879994285007,12.74792827092684
CNN_low_mass,-5.234681576574348,4.300975799560543
CNN_low_mass,-6.447175381956765,5.400165686240559
CNN_low_mass,-5.076917616675642,8.249279168935919
CNN_low_mass,-4.094606531811815,4.177960982689488
CNN_low_mass,-6.30563548426087,7.4354235942547104
CNN_low_mass,3.10446797319188,15.448591800836411
CNN_low_mass,3.220208333854392,39.48535735790546
CNN_low_mass,-3.489702054423896,28.804050042079044
CNN_low_mass,1.411546564118544,38.595560880807724
CNN_low_mass,-3.515962386853913,33.79160395035377
CNN_low_mass,-5.062897705022413,34.86820184267484
CNN_low_mass,-10.109065303448181,23.94527196884155
CNN_low_mass,-8.497659780237067,25.992083091002243
CNN_low_mass,-1.3411002240695336,44.27939515847426
CNN_low_mass,-4.997453196943328,28.92502087813157
CNN_low_mass,-6.188028582731637,32.77102387868441
CNN_low_mass,-7.609651336827172,28.515597490163948
CNN_low_mass,-0.9934001263252565,35.128705318157486
CNN_low_mass,15.769219981191924,61.99844479560852
CNN_low_mass,-1.9675083021873878,38.11432352432838
CNN_low_mass,-5.0348148527947645,28.783440589904785
CNN_low_mass,-4.48747433168357,30.87144402357248
CNN_low_mass,5.9054204780189705,71.60998124342697
CNN_low_mass,-1.3282579685744538,57.6756110558143
CNN_low_mass,-4.219485741489196,56.39264033390925
CNN_low_mass,-7.314840005759978,52.63042449951172
CNN_low_mass,-7.467521319022957,49.272698622483475
CNN_low_mass,1.3241813573866266,62.51478928786057
CNN_low_mass,12.791515319302224,81.31424830510066
CNN_low_mass,-5.44115534971439,48.51490901066707
CNN_low_mass,1.5853620411422926,58.89142843393179
CNN_low_mass,5.841124960508715,70.61146956223709
CNN_low_mass,2.2652578339045153,64.6210450392503
CNN_low_mass,-2.290379203848042,57.412162193885216
CNN_low_mass,6.3989041859363285,70.24005009577824
CNN_low_mass,3.3491779384367546,66.35136237511267
CNN_low_mass,4.7188181643158975,69.87486619215744
CNN_low_mass,-2.2643170065134197,59.03380467341497
CNN_low_mass,-13.00361437399994,18.705759048461914
CNN_low_mass,-12.454560771183996,8.870201110839844
CNN_low_mass,0.8747079414058488,7.773494720458984
CNN_low_mass,-9.778495925675399,24.516620635986328
CNN_low_mass,-8.81397948499251,16.58970832824707
CNN_low_mass,-9.131641796091824,18.70159149169922
CNN_low_mass,-3.737530416930502,17.809228897094727
CNN_low_mass,-7.459976430407401,19.020328521728516
CNN_low_mass,-11.227295216961819,11.353435516357422
CNN_low_mass,0.7123891969531168,9.5745849609375
CNN_low_mass,-7.7992609218970665,19.89424705505371
CNN_low_mass,-18.792498175962773,18.50815773010254
CNN_low_mass,-6.080310642994922,19.43333625793457
CNN_low_mass,-6.292631223855786,18.836231231689453
CNN_low_mass,-6.353047932493827,18.84805679321289
CNN_low_mass,-1.5834718555538294,10.622873306274414
CNN_low_mass,-9.869493424519543,-0.15911622480912643
CNN_low_mass,-6.146005198635695,-2.584405378861861
CNN_low_mass,-10.055464819319834,5.322291634299538
CNN_low_mass,-4.1417435069756765,5.350815166126599
CNN_low_mass,-14.872921923764238,8.19453326138583
CNN_low_mass,-7.755569680603272,6.626666675914418
CNN_low_mass,-3.5531199704770478,6.359767913818359
CNN_low_mass,3.1766696426342595,-5.418760126287287
CNN_low_mass,-6.486368565450381,6.905677101828835
CNN_low_mass,-7.693330624044657,6.861652027476918
CNN_low_mass,-11.488968425944462,-5.520499836314808
CNN_low_mass,-6.183617111526064,0.6801865317604758
CNN_low_mass,-4.3854544499187496,9.543080763383346
CNN_low_mass,1.9169564411759,-3.4794287248091265
CNN_low_mass,17.351148664561567,2.5515209544788706
CNN_low_mass,-3.3105111170722914,1.0794639587402344
CNN_low_mass,-19.882054582170937,-3.5046259562174478
CNN_low_mass,-5.824783625181002,-13.63213857014974
CNN_low_mass,-8.893040561361163,-7.007257143656413
CNN_low_mass,-10.366864527449653,-13.202905654907227
CNN_low_mass,-2.84637342536448,-8.834052085876465
CNN_low_mass,-10.035474969025262,-11.374378204345703
CNN_low_mass,-2.9453624890152756,-6.105629603068033
CNN_low_mass,-9.244330922337838,-7.30138619740804
CNN_low_mass,-14.051246191055666,-9.159612655639648
CNN_low_mass,-1.8277407061894537,-4.021811485290527
CNN_low_mass,17.14314297524051,-6.9732666015625
CNN_low_mass,-13.113967509065914,-10.380037625630695
CNN_low_mass,-13.451282943409538,-11.039471626281738
CNN_low_mass,-4.6038155169990675,-8.946116765340168
CNN_low_mass,-9.681443494321243,-5.0254106521606445
CNN_low_mass,-7.786272321328585,-8.033084869384766
CNN_low_mass,-8.847911748002899,-28.27101389567057
CNN_low_mass,-15.323651829300482,-30.816294352213543
CNN_low_mass,7.145768814570366,-27.51723607381185
CNN_low_mass,-1.7992219916808465,-39.942073822021484
CNN_low_mass,-7.327638978545817,-36.002610524495445
CNN_low_mass,-4.228451952699408,-35.40989557902019
CNN_low_mass,-5.999160363165259,-32.15993881225586
CNN_low_mass,-2.769748501287688,-27.268956502278645
CNN_low_mass,-0.8318142586944972,-37.442124684651695
CNN_low_mass,-3.7488604866706687,-28.58348210652669
CNN_low_mass,-12.302328138128944,-35.01578013102213
CNN_low_mass,5.468567126272649,-29.858322143554688
CNN_low_mass,-7.585677079570526,-31.48944854736328
CNN_low_mass,-2.0719841129410757,-41.45393371582031
CNN_low_mass,-12.253736042529395,-24.454905192057293
CNN_low_mass,-3.574937417673474,-28.530890146891274
CNN_low_mass,-6.125936921957285,-41.58681109547614
CNN_low_mass,-3.953457024140789,-39.25462923943996
CNN_low_mass,-3.861139831363393,-40.70263653993606
CNN_low_mass,-3.128022943192316,-36.89051009714603
CNN_low_mass,-6.20245715967786,-36.51545122265814
CNN_low_mass,-1.6681531209899558,-41.47505909204482
CNN_low_mass,-7.890784963948827,-45.065277442336075
CNN_low_mass,-10.245766857676196,-38.61273601651191
CNN_low_mass,-0.947365563594934,-35.79687178134917
CNN_low_mass,-7.561340728400909,-39.80995044112205
CNN_low_mass,-12.99852909993278,-39.10829909145831
CNN_low_mass,-3.5472534043701742,-30.413130670785893
CNN_low_mass,-0.7136596443964318,-35.31766682863234
CNN_low_mass,-9.011398901057884,-40.393858775496476
CNN_low_mass,-4.3597005016617585,-30.07267527282237
CNN_low_mass,-8.220973210836679,-35.920859128236756
CNN_low_mass,-13.423088557147695,-19.345787167549126
CNN_low_mass,-9.203180752195719,-17.25833117961883
CNN_low_mass,-5.944236604834891,-8.884197473525996
